"","Main","Set","Type","IndependentVariables","mean"
"1",1,"Ma + HCI","h1=Normal, Co=Normal",1,0.085
"2",1,"Ma + HCI","h1=Normal, Co=Normal",2,0.0830357142857143
"3",1,"Ma + HCI","h1=Binary, Co=Binary",1,0.0705
"4",1,"Ma + HCI","h1=Binary, Co=Binary",2,0.0808571428571429
"5",1,"Ma + HCI","h1=Normal, Co=Binary",1,0.0834166666666667
"6",1,"Ma + HCI","h1=Normal, Co=Binary",2,0.0855
"7",1,"Ma + HCI","h1=Binary, Co=Normal",1,0.0755833333333333
"8",1,"Ma + HCI","h1=Binary, Co=Normal",2,0.0820714285714286
"9",1,"Ma + HCI","h1=Binary, Co=Binary Effect",1,0.09325
"10",1,"Ma + HCI","h1=Binary, Co=Binary Effect",2,0.0847857142857143
"11",1,"Ma + HCI","h1=Normal, Co=Binary Effect",1,0.08175
"12",1,"Ma + HCI","h1=Normal, Co=Binary Effect",2,0.0924642857142857
"13",1,"Ma + CCI","h1=Normal, Co=Normal",1,0.054625
"14",1,"Ma + CCI","h1=Normal, Co=Normal",2,0.0488928571428571
"15",1,"Ma + CCI","h1=Binary, Co=Binary",1,0.04825
"16",1,"Ma + CCI","h1=Binary, Co=Binary",2,0.0527857142857143
"17",1,"Ma + CCI","h1=Normal, Co=Binary",1,0.04375
"18",1,"Ma + CCI","h1=Normal, Co=Binary",2,0.04575
"19",1,"Ma + CCI","h1=Binary, Co=Normal",1,0.047
"20",1,"Ma + CCI","h1=Binary, Co=Normal",2,0.0480714285714286
"21",1,"Ma + CCI","h1=Binary, Co=Binary Effect",1,0.04625
"22",1,"Ma + CCI","h1=Binary, Co=Binary Effect",2,0.04425
"23",1,"Ma + CCI","h1=Normal, Co=Binary Effect",1,0.046375
"24",1,"Ma + CCI","h1=Normal, Co=Binary Effect",2,0.0438928571428571
"25",1,"Ma","h1=Normal, Co=Normal",1,0.0471666666666667
"26",1,"Ma + HCI + CCI","h1=Normal, Co=Normal",1,0.0763333333333333
"27",1,"Ma","h1=Normal, Co=Normal",2,0.0410714285714286
"28",1,"Ma + HCI + CCI","h1=Normal, Co=Normal",2,0.114991071428571
"29",1,"Ma","h1=Binary, Co=Binary",1,0.0473333333333333
"30",1,"Ma + HCI + CCI","h1=Binary, Co=Binary",1,0.0735
"31",1,"Ma","h1=Binary, Co=Binary",2,0.0435714285714286
"32",1,"Ma + HCI + CCI","h1=Binary, Co=Binary",2,0.104410714285714
"33",1,"Ma","h1=Normal, Co=Binary",1,0.0441666666666667
"34",1,"Ma + HCI + CCI","h1=Normal, Co=Binary",1,0.0708333333333333
"35",1,"Ma","h1=Normal, Co=Binary",2,0.0525
"36",1,"Ma + HCI + CCI","h1=Normal, Co=Binary",2,0.117116071428571
