Main;Set;Type;SampleSize;OutlierExclusion;Correlation;IndependentVariables;DV;mean;FPR;FPP
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;150;TRUE;0.1;1;1;0.3275;0.0763;0.3275
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;150;TRUE;0.1;2;1;0.4595;0.0929571428571428;0.4595
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;150;TRUE;0.1;1;1;0.322;0.0780833333333333;0.322
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;150;TRUE;0.1;2;1;0.42;0.0835571428571429;0.42
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;150;TRUE;0.1;1;1;0.3005;0.0846333333333334;0.3005
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;150;TRUE;0.1;2;1;0.4155;0.0867142857142857;0.4155
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;150;TRUE;0.1;1;1;0.341;0.0742333333333333;0.341
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;150;TRUE;0.1;2;1;0.4775;0.08165;0.4775
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;200;TRUE;0.1;1;1;0.337;0.0830666666666667;0.337
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;200;TRUE;0.1;2;1;0.4615;0.0862785714285714;0.4615
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;200;TRUE;0.1;1;1;0.289;0.0700666666666667;0.289
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;200;TRUE;0.1;2;1;0.3915;0.0774285714285714;0.3915
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;200;TRUE;0.1;1;1;0.2925;0.07735;0.2925
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;200;TRUE;0.1;2;1;0.4015;0.0891285714285714;0.4015
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;200;TRUE;0.1;1;1;0.346;0.0710333333333333;0.346
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;200;TRUE;0.1;2;1;0.4655;0.0789214285714286;0.4655
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;250;TRUE;0.1;1;1;0.3265;0.07505;0.3265
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;250;TRUE;0.1;2;1;0.452;0.089;0.452
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;250;TRUE;0.1;1;1;0.3015;0.0751666666666667;0.3015
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;250;TRUE;0.1;2;1;0.403;0.0745428571428572;0.403
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;250;TRUE;0.1;1;1;0.292;0.0747833333333333;0.292
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;250;TRUE;0.1;2;1;0.416;0.0928714285714286;0.416
