Restrictions;Set;Type;Sample Size;Outlier exclusion;Correlation;Covariates;Dependent variables;FPP;FPR
$Without$;$\textit{x} + \textit{z}$;$\textit{x} \sim Normal , \textit{z} \sim Normal$;200;FALSE;0.2;2;1;0.0655;0.0494916666666666
$Without$;$\textit{x} + \textit{z}$;$\textit{x} \sim Binary, \textit{z} \sim Binary$;200;FALSE;0.2;2;1;0.067825;0.0501833333333332
$Without$;$\textit{x} \times \textit{z}$;$\textit{x} \sim Normal , \textit{z} \sim Normal$;200;FALSE;0.2;2;1;0.1721;0.123008333333333
$Without$;$\textit{x} \times \textit{z}$;$\textit{x} \sim Binary, \textit{z} \sim Binary$;200;FALSE;0.2;2;1;0.8222;0.636925000000116
$Without$;$\textit{z} \times \textit{z}$;$\textit{x} \sim Normal , \textit{z} \sim Normal$;200;FALSE;0.2;2;1;0.050075;0.050075
$Without$;$\textit{z} \times \textit{z}$;$\textit{x} \sim Binary, \textit{z} \sim Binary$;200;FALSE;0.2;2;1;0.052575;0.052575
$Without$;$\textit{x} + \textit{z} + \textit{x} \times \textit{z}$;$\textit{x} \sim Normal , \textit{z} \sim Normal$;200;FALSE;0.2;2;1;0.23465;0.116941666666666
$Without$;$\textit{x} + \textit{z} + \textit{x} \times \textit{z}$;$\textit{x} \sim Binary, \textit{z} \sim Binary$;200;FALSE;0.2;2;1;0.864675;0.38600625000011
$Without$;$\textit{x} + \textit{z} + \textit{z} \times \textit{z}$;$\textit{x} \sim Normal , \textit{z} \sim Normal$;200;FALSE;0.2;2;1;0.07125;0.0510125
$Without$;$\textit{x} + \textit{z} + \textit{z} \times \textit{z}$;$\textit{x} \sim Binary, \textit{z} \sim Binary$;200;FALSE;0.2;2;1;0.061175;0.04893125
$Without$;$\textit{x} \times \textit{z} + \textit{z} \times \textit{z}$;$\textit{x} \sim Normal , \textit{z} \sim Normal$;200;FALSE;0.2;2;1;0.187825;0.0868000000000033
$Without$;$\textit{x} \times \textit{z} + \textit{z} \times \textit{z}$;$\textit{x} \sim Binary, \textit{z} \sim Binary$;200;FALSE;0.2;2;1;0.35905;0.125958333333333
$Without$;$\textit{x} + \textit{z} + \textit{x} \times \textit{z} + \textit{z} \times \textit{z}$;$\textit{x} \sim Normal , \textit{z} \sim Normal$;200;FALSE;0.2;2;1;0.221;0.115122222222222
$Without$;$\textit{x} + \textit{z} + \textit{x} \times \textit{z} + \textit{z} \times \textit{z}$;$\textit{x} \sim Binary, \textit{z} \sim Binary$;200;FALSE;0.2;2;1;0.4989;0.173247222222251
$With$;$\textit{x} + \textit{z}$;$\textit{x} \sim Normal , \textit{z} \sim Normal$;200;FALSE;0.2;2;1;0.069475;0.0516833333333333
$With$;$\textit{x} + \textit{z}$;$\textit{x} \sim Binary, \textit{z} \sim Binary$;200;FALSE;0.2;2;1;0.066425;0.0495666666666666
$With$;$\textit{x} + \textit{z} + \textit{x} \times \textit{z}$;$\textit{x} \sim Normal , \textit{z} \sim Normal$;200;FALSE;0.2;2;1;0.180675;0.105199999999996
$With$;$\textit{x} + \textit{z} + \textit{x} \times \textit{z}$;$\textit{x} \sim Binary, \textit{z} \sim Binary$;200;FALSE;0.2;2;1;0.18725;0.0924749999999951
$With$;$\textit{x} + \textit{z} + \textit{z} \times \textit{z}$;$\textit{x} \sim Normal , \textit{z} \sim Normal$;200;FALSE;0.2;2;1;0.05075;0.05075
$With$;$\textit{x} + \textit{z} + \textit{z} \times \textit{z}$;$\textit{x} \sim Binary, \textit{z} \sim Binary$;200;FALSE;0.2;2;1;0.05005;0.05005
$With$;$\textit{x} + \textit{z} + \textit{x} \times \textit{z} + \textit{z} \times \textit{z}$;$\textit{x} \sim Normal , \textit{z} \sim Normal$;200;FALSE;0.2;2;1;0.155125;0.111541666666665
$With$;$\textit{x} + \textit{z} + \textit{x} \times \textit{z} + \textit{z} \times \textit{z}$;$\textit{x} \sim Binary, \textit{z} \sim Binary$;200;FALSE;0.2;2;1;0.165575;0.0986249999999968
