Main;Set;Type;SampleSize;OutlierExclusion;Correlation;IndependentVariables;DV;mean;FPR;Pr
With restrictions for interactions;;x1=Normal, Cov=Normal;200;FALSE;0.2;1;1;0.11725;0.0495583333333332;0.11725
With restrictions for interactions;;x1=Binary, Cov=Binary;200;FALSE;0.2;1;1;0.1317;0.0469749999999998;0.1317
With restrictions for interactions;;x1=Normal, Cov=Normal;200;FALSE;0.2;1;1;0.06975;0.0507;0.06975
With restrictions for interactions;;x1=Binary, Cov=Binary;200;FALSE;0.2;1;1;0.06875;0.050325;0.06875
With restrictions for interactions;;x1=Normal, Cov=Normal;200;FALSE;0.2;1;1;0.06765;0.0503500000000001;0.06765
With restrictions for interactions;;x1=Normal, Cov=Normal;200;FALSE;0.2;1;1;0.114;0.0490500000000001;0.114
With restrictions for interactions;;x1=Binary, Cov=Binary;200;FALSE;0.2;1;1;0.06915;0.0507666666666667;0.06915
With restrictions for interactions;;x1=Binary, Cov=Binary;200;FALSE;0.2;1;1;0.13395;0.0491833333333332;0.13395
No restrictions for interactions;;x1=Normal, Cov=Normal;200;FALSE;0.2;1;1;0.12215;0.0515833333333335;0.12215
No restrictions for interactions;;x1=Normal, Cov=Normal;200;FALSE;0.2;1;1;0.15295;0.0539966666666672;0.15295
No restrictions for interactions;;x1=Binary, Cov=Binary;200;FALSE;0.2;1;1;0.6936;0.271316666666657;0.6936
No restrictions for interactions;;x1=Binary, Cov=Binary;200;FALSE;0.2;1;1;0.7489;0.235213333333343;0.7489
No restrictions for interactions;;x1=Normal, Cov=Normal;200;FALSE;0.2;1;1;0.0679;0.047575;0.0679
No restrictions for interactions;;x1=Normal, Cov=Normal;200;FALSE;0.2;1;1;0.0754;0.0515857142857144;0.0754
No restrictions for interactions;;x1=Binary, Cov=Binary;200;FALSE;0.2;1;1;0.0692;0.0503375;0.0692
No restrictions for interactions;;x1=Binary, Cov=Binary;200;FALSE;0.2;1;1;0.06995;0.0498;0.06995
No restrictions for interactions;;x1=Normal, Cov=Normal;200;FALSE;0.2;1;1;0.06915;0.0523833333333333;0.06915
No restrictions for interactions;;x1=Normal, Cov=Normal;200;FALSE;0.2;1;1;0.14355;0.0508083333333336;0.14355
No restrictions for interactions;;x1=Normal, Cov=Normal;200;FALSE;0.2;1;1;0.1223;0.0520250000000003;0.1223
No restrictions for interactions;;x1=Binary, Cov=Binary;200;FALSE;0.2;1;1;0.06785;0.0506666666666667;0.06785
No restrictions for interactions;;x1=Binary, Cov=Binary;200;FALSE;0.2;1;1;0.3599;0.0843083333333344;0.3599
No restrictions for interactions;;x1=Binary, Cov=Binary;200;FALSE;0.2;1;1;0.236;0.0824666666666657;0.236
With restrictions for interactions;;x1=Normal, Cov=Normal;100;FALSE;0.2;1;1;0.1171;0.0489000000000001;0.1171
With restrictions for interactions;;x1=Binary, Cov=Binary;100;FALSE;0.2;1;1;0.13445;0.0472833333333331;0.13445
With restrictions for interactions;;x1=Normal, Cov=Normal;150;FALSE;0.2;1;1;0.11425;0.0488083333333332;0.11425
With restrictions for interactions;;x1=Binary, Cov=Binary;150;FALSE;0.2;1;1;0.13;0.0454166666666666;0.13
