"","Main","Set","Type","mean"
"1",1,"Ma + HCI",2,0.0826785714285714
"2",1,"Ma + HCI",1,0.0872767857142857
"3",1,"Ma + CCI",1,0.0508928571428571
"4",1,"Ma + CCI",2,0.0488928571428571
"5",1,"Ma",1,0.0452321428571429
"6",1,"Ma + HCI + CCI",1,0.122953125
"7",1,"Ma",2,0.0510535714285714
"8",1,"Ma + HCI + CCI",2,0.105839285714286
"9",2,"HCI",1,0.097125
"10",2,"Ma + HCI",1,0.123424603174603
"11",2,"HCI",2,0.383544642857143
"12",2,"Ma + HCI",2,0.416992063492063
"13",2,"CCI",2,0.0483125
"14",2,"Ma + CCI",2,0.0497857142857143
"15",2,"CCI",1,0.0471696428571429
"16",2,"Ma + CCI",1,0.0523154761904762
"17",2,"Ma",1,0.0504107142857143
"18",2,"Ma + HCI + CCI",1,0.130277857142857
"19",2,"HCI + CCI",1,0.129977678571429
"20",2,"Ma",2,0.0524642857142857
"21",2,"Ma + HCI + CCI",2,0.2276275
"22",2,"HCI + CCI",2,0.305006696428571
