"","finalresultNorm.Pr","finalresultNorm.Interaction","finalresultNorm.OutlierExclusion","finalresultNorm.IndependentVariables","finalresultNorm.Type","finalresultNorm.SampleSize","finalresultBin.Pr","finalresultBin.Interaction","finalresultBin.OutlierExclusion","finalresultBin.IndependentVariables","finalresultBin.Type","finalresultBin.SampleSize","finalresultNormBin.Pr","finalresultNormBin.Interaction","finalresultNormBin.OutlierExclusion","finalresultNormBin.IndependentVariables","finalresultNormBin.Type","finalresultNormBin.SampleSize","finalresultBinNorm.Pr","finalresultBinNorm.Interaction","finalresultBinNorm.OutlierExclusion","finalresultBinNorm.IndependentVariables","finalresultBinNorm.Type","finalresultBinNorm.SampleSize"
"1",0.181,"In TRUE","SD TRUE",1,1,50,0.193,"In TRUE","SD TRUE",1,2,50,0.183,"In TRUE","SD TRUE",1,3,50,0.213,"In TRUE","SD TRUE",1,4,50
"2",0.182,"In TRUE","SD TRUE",1,1,100,0.2,"In TRUE","SD TRUE",1,2,100,0.174,"In TRUE","SD TRUE",1,3,100,0.188,"In TRUE","SD TRUE",1,4,100
"3",0.176,"In TRUE","SD TRUE",1,1,150,0.202,"In TRUE","SD TRUE",1,2,150,0.185,"In TRUE","SD TRUE",1,3,150,0.212,"In TRUE","SD TRUE",1,4,150
"4",0.185,"In TRUE","SD TRUE",1,1,200,0.191,"In TRUE","SD TRUE",1,2,200,0.18,"In TRUE","SD TRUE",1,3,200,0.213,"In TRUE","SD TRUE",1,4,200
"5",0.198,"In TRUE","SD TRUE",1,1,250,0.185,"In TRUE","SD TRUE",1,2,250,0.174,"In TRUE","SD TRUE",1,3,250,0.218,"In TRUE","SD TRUE",1,4,250
"6",0.183,"In TRUE","SD TRUE",1,1,300,0.213,"In TRUE","SD TRUE",1,2,300,0.203,"In TRUE","SD TRUE",1,3,300,0.212,"In TRUE","SD TRUE",1,4,300
"7",0.187,"In TRUE","SD TRUE",1,1,350,0.176,"In TRUE","SD TRUE",1,2,350,0.185,"In TRUE","SD TRUE",1,3,350,0.22,"In TRUE","SD TRUE",1,4,350
"8",0.166,"In TRUE","SD TRUE",1,1,400,0.207,"In TRUE","SD TRUE",1,2,400,0.177,"In TRUE","SD TRUE",1,3,400,0.187,"In TRUE","SD TRUE",1,4,400
"9",0.2,"In TRUE","SD TRUE",1,1,450,0.213,"In TRUE","SD TRUE",1,2,450,0.181,"In TRUE","SD TRUE",1,3,450,0.191,"In TRUE","SD TRUE",1,4,450
"10",0.183,"In TRUE","SD TRUE",1,1,500,0.2,"In TRUE","SD TRUE",1,2,500,0.19,"In TRUE","SD TRUE",1,3,500,0.212,"In TRUE","SD TRUE",1,4,500
"11",0.09,"In FALSE","SD TRUE",1,1,50,0.093,"In FALSE","SD TRUE",1,2,50,0.083,"In FALSE","SD TRUE",1,3,50,0.097,"In FALSE","SD TRUE",1,4,50
"12",0.098,"In FALSE","SD TRUE",1,1,100,0.097,"In FALSE","SD TRUE",1,2,100,0.093,"In FALSE","SD TRUE",1,3,100,0.096,"In FALSE","SD TRUE",1,4,100
"13",0.095,"In FALSE","SD TRUE",1,1,150,0.084,"In FALSE","SD TRUE",1,2,150,0.082,"In FALSE","SD TRUE",1,3,150,0.1,"In FALSE","SD TRUE",1,4,150
"14",0.08,"In FALSE","SD TRUE",1,1,200,0.087,"In FALSE","SD TRUE",1,2,200,0.086,"In FALSE","SD TRUE",1,3,200,0.084,"In FALSE","SD TRUE",1,4,200
"15",0.105,"In FALSE","SD TRUE",1,1,250,0.079,"In FALSE","SD TRUE",1,2,250,0.09,"In FALSE","SD TRUE",1,3,250,0.102,"In FALSE","SD TRUE",1,4,250
"16",0.098,"In FALSE","SD TRUE",1,1,300,0.086,"In FALSE","SD TRUE",1,2,300,0.079,"In FALSE","SD TRUE",1,3,300,0.109,"In FALSE","SD TRUE",1,4,300
"17",0.094,"In FALSE","SD TRUE",1,1,350,0.09,"In FALSE","SD TRUE",1,2,350,0.096,"In FALSE","SD TRUE",1,3,350,0.095,"In FALSE","SD TRUE",1,4,350
"18",0.087,"In FALSE","SD TRUE",1,1,400,0.083,"In FALSE","SD TRUE",1,2,400,0.077,"In FALSE","SD TRUE",1,3,400,0.11,"In FALSE","SD TRUE",1,4,400
"19",0.095,"In FALSE","SD TRUE",1,1,450,0.083,"In FALSE","SD TRUE",1,2,450,0.094,"In FALSE","SD TRUE",1,3,450,0.096,"In FALSE","SD TRUE",1,4,450
"20",0.1,"In FALSE","SD TRUE",1,1,500,0.091,"In FALSE","SD TRUE",1,2,500,0.093,"In FALSE","SD TRUE",1,3,500,0.094,"In FALSE","SD TRUE",1,4,500
"21",0.103,"In TRUE","SD FALSE",1,1,50,0.119,"In TRUE","SD FALSE",1,2,50,0.086,"In TRUE","SD FALSE",1,3,50,0.112,"In TRUE","SD FALSE",1,4,50
"22",0.1,"In TRUE","SD FALSE",1,1,100,0.116,"In TRUE","SD FALSE",1,2,100,0.091,"In TRUE","SD FALSE",1,3,100,0.101,"In TRUE","SD FALSE",1,4,100
"23",0.112,"In TRUE","SD FALSE",1,1,150,0.1,"In TRUE","SD FALSE",1,2,150,0.096,"In TRUE","SD FALSE",1,3,150,0.1,"In TRUE","SD FALSE",1,4,150
"24",0.09,"In TRUE","SD FALSE",1,1,200,0.115,"In TRUE","SD FALSE",1,2,200,0.107,"In TRUE","SD FALSE",1,3,200,0.116,"In TRUE","SD FALSE",1,4,200
"25",0.108,"In TRUE","SD FALSE",1,1,250,0.117,"In TRUE","SD FALSE",1,2,250,0.102,"In TRUE","SD FALSE",1,3,250,0.109,"In TRUE","SD FALSE",1,4,250
"26",0.11,"In TRUE","SD FALSE",1,1,300,0.142,"In TRUE","SD FALSE",1,2,300,0.088,"In TRUE","SD FALSE",1,3,300,0.112,"In TRUE","SD FALSE",1,4,300
"27",0.1,"In TRUE","SD FALSE",1,1,350,0.093,"In TRUE","SD FALSE",1,2,350,0.106,"In TRUE","SD FALSE",1,3,350,0.107,"In TRUE","SD FALSE",1,4,350
"28",0.121,"In TRUE","SD FALSE",1,1,400,0.119,"In TRUE","SD FALSE",1,2,400,0.084,"In TRUE","SD FALSE",1,3,400,0.113,"In TRUE","SD FALSE",1,4,400
"29",0.09,"In TRUE","SD FALSE",1,1,450,0.132,"In TRUE","SD FALSE",1,2,450,0.103,"In TRUE","SD FALSE",1,3,450,0.11,"In TRUE","SD FALSE",1,4,450
"30",0.088,"In TRUE","SD FALSE",1,1,500,0.104,"In TRUE","SD FALSE",1,2,500,0.114,"In TRUE","SD FALSE",1,3,500,0.109,"In TRUE","SD FALSE",1,4,500
"31",0.052,"In FALSE","SD FALSE",1,1,50,0.068,"In FALSE","SD FALSE",1,2,50,0.051,"In FALSE","SD FALSE",1,3,50,0.045,"In FALSE","SD FALSE",1,4,50
"32",0.065,"In FALSE","SD FALSE",1,1,100,0.048,"In FALSE","SD FALSE",1,2,100,0.043,"In FALSE","SD FALSE",1,3,100,0.052,"In FALSE","SD FALSE",1,4,100
"33",0.05,"In FALSE","SD FALSE",1,1,150,0.056,"In FALSE","SD FALSE",1,2,150,0.069,"In FALSE","SD FALSE",1,3,150,0.045,"In FALSE","SD FALSE",1,4,150
"34",0.051,"In FALSE","SD FALSE",1,1,200,0.044,"In FALSE","SD FALSE",1,2,200,0.039,"In FALSE","SD FALSE",1,3,200,0.049,"In FALSE","SD FALSE",1,4,200
"35",0.053,"In FALSE","SD FALSE",1,1,250,0.056,"In FALSE","SD FALSE",1,2,250,0.047,"In FALSE","SD FALSE",1,3,250,0.053,"In FALSE","SD FALSE",1,4,250
"36",0.062,"In FALSE","SD FALSE",1,1,300,0.055,"In FALSE","SD FALSE",1,2,300,0.05,"In FALSE","SD FALSE",1,3,300,0.044,"In FALSE","SD FALSE",1,4,300
"37",0.065,"In FALSE","SD FALSE",1,1,350,0.053,"In FALSE","SD FALSE",1,2,350,0.049,"In FALSE","SD FALSE",1,3,350,0.061,"In FALSE","SD FALSE",1,4,350
"38",0.042,"In FALSE","SD FALSE",1,1,400,0.05,"In FALSE","SD FALSE",1,2,400,0.054,"In FALSE","SD FALSE",1,3,400,0.03,"In FALSE","SD FALSE",1,4,400
"39",0.047,"In FALSE","SD FALSE",1,1,450,0.052,"In FALSE","SD FALSE",1,2,450,0.043,"In FALSE","SD FALSE",1,3,450,0.048,"In FALSE","SD FALSE",1,4,450
"40",0.054,"In FALSE","SD FALSE",1,1,500,0.044,"In FALSE","SD FALSE",1,2,500,0.06,"In FALSE","SD FALSE",1,3,500,0.057,"In FALSE","SD FALSE",1,4,500
"41",0.361,"In TRUE","SD TRUE",2,1,50,0.502,"In TRUE","SD TRUE",2,2,50,0.529,"In TRUE","SD TRUE",2,3,50,0.371,"In TRUE","SD TRUE",2,4,50
"42",0.371,"In TRUE","SD TRUE",2,1,100,0.652,"In TRUE","SD TRUE",2,2,100,0.709,"In TRUE","SD TRUE",2,3,100,0.372,"In TRUE","SD TRUE",2,4,100
"43",0.372,"In TRUE","SD TRUE",2,1,150,0.74,"In TRUE","SD TRUE",2,2,150,0.816,"In TRUE","SD TRUE",2,3,150,0.4,"In TRUE","SD TRUE",2,4,150
