"","finalresultNorm.Pr","finalresultNorm.Power2","finalresultNorm.Power3","finalresultNorm.OutlierExclusion","finalresultNorm.IndependentVariables","finalresultNorm.Type","finalresultNorm.SampleSize","finalresultBin.Pr","finalresultBin.Power2","finalresultBin.Power3","finalresultBin.OutlierExclusion","finalresultBin.IndependentVariables","finalresultBin.Type","finalresultBin.SampleSize","finalresultNormBin.Pr","finalresultNormBin.Power2","finalresultNormBin.Power3","finalresultNormBin.OutlierExclusion","finalresultNormBin.IndependentVariables","finalresultNormBin.Type","finalresultNormBin.SampleSize","finalresultBinNorm.Pr","finalresultBinNorm.Power2","finalresultBinNorm.Power3","finalresultBinNorm.OutlierExclusion","finalresultBinNorm.IndependentVariables","finalresultBinNorm.Type","finalresultBinNorm.SampleSize"
"481",0.209,"Power2 True","Power3 TRUE","SD FALSE",1,1,50,0.210333333333333,"Power2 True","Power3 TRUE","SD FALSE",1,2,50,0.190666666666667,"Power2 True","Power3 TRUE","SD FALSE",1,3,50,0.223666666666667,"Power2 True","Power3 TRUE","SD FALSE",1,4,50
"482",0.310666666666667,"Power2 True","Power3 TRUE","SD FALSE",2,1,50,0.344333333333333,"Power2 True","Power3 TRUE","SD FALSE",2,2,50,0.295333333333333,"Power2 True","Power3 TRUE","SD FALSE",2,3,50,0.321666666666667,"Power2 True","Power3 TRUE","SD FALSE",2,4,50
"483",0.474,"Power2 True","Power3 TRUE","SD FALSE",3,1,50,0.473333333333333,"Power2 True","Power3 TRUE","SD FALSE",3,2,50,0.438,"Power2 True","Power3 TRUE","SD FALSE",3,3,50,0.491333333333333,"Power2 True","Power3 TRUE","SD FALSE",3,4,50
"493",0.192666666666667,"Power2 True","Power3 TRUE","SD FALSE",1,1,100,0.209333333333333,"Power2 True","Power3 TRUE","SD FALSE",1,2,100,0.190666666666667,"Power2 True","Power3 TRUE","SD FALSE",1,3,100,0.231,"Power2 True","Power3 TRUE","SD FALSE",1,4,100
"494",0.294333333333333,"Power2 True","Power3 TRUE","SD FALSE",2,1,100,0.324333333333333,"Power2 True","Power3 TRUE","SD FALSE",2,2,100,0.306666666666667,"Power2 True","Power3 TRUE","SD FALSE",2,3,100,0.315333333333333,"Power2 True","Power3 TRUE","SD FALSE",2,4,100
"495",0.419666666666667,"Power2 True","Power3 TRUE","SD FALSE",3,1,100,0.460333333333333,"Power2 True","Power3 TRUE","SD FALSE",3,2,100,0.417333333333333,"Power2 True","Power3 TRUE","SD FALSE",3,3,100,0.459,"Power2 True","Power3 TRUE","SD FALSE",3,4,100
"505",0.200666666666667,"Power2 True","Power3 TRUE","SD FALSE",1,1,150,0.206,"Power2 True","Power3 TRUE","SD FALSE",1,2,150,0.177,"Power2 True","Power3 TRUE","SD FALSE",1,3,150,0.202666666666667,"Power2 True","Power3 TRUE","SD FALSE",1,4,150
"506",0.281,"Power2 True","Power3 TRUE","SD FALSE",2,1,150,0.331333333333333,"Power2 True","Power3 TRUE","SD FALSE",2,2,150,0.286666666666667,"Power2 True","Power3 TRUE","SD FALSE",2,3,150,0.326666666666667,"Power2 True","Power3 TRUE","SD FALSE",2,4,150
"507",0.413333333333333,"Power2 True","Power3 TRUE","SD FALSE",3,1,150,0.432,"Power2 True","Power3 TRUE","SD FALSE",3,2,150,0.404666666666667,"Power2 True","Power3 TRUE","SD FALSE",3,3,150,0.454333333333333,"Power2 True","Power3 TRUE","SD FALSE",3,4,150
"517",0.186,"Power2 True","Power3 TRUE","SD FALSE",1,1,200,0.218666666666667,"Power2 True","Power3 TRUE","SD FALSE",1,2,200,0.178,"Power2 True","Power3 TRUE","SD FALSE",1,3,200,0.202,"Power2 True","Power3 TRUE","SD FALSE",1,4,200
"518",0.285,"Power2 True","Power3 TRUE","SD FALSE",2,1,200,0.307333333333333,"Power2 True","Power3 TRUE","SD FALSE",2,2,200,0.282333333333333,"Power2 True","Power3 TRUE","SD FALSE",2,3,200,0.313666666666667,"Power2 True","Power3 TRUE","SD FALSE",2,4,200
"519",0.420666666666667,"Power2 True","Power3 TRUE","SD FALSE",3,1,200,0.442666666666667,"Power2 True","Power3 TRUE","SD FALSE",3,2,200,0.385333333333333,"Power2 True","Power3 TRUE","SD FALSE",3,3,200,0.426666666666667,"Power2 True","Power3 TRUE","SD FALSE",3,4,200
"529",0.18,"Power2 True","Power3 TRUE","SD FALSE",1,1,250,0.226666666666667,"Power2 True","Power3 TRUE","SD FALSE",1,2,250,0.182666666666667,"Power2 True","Power3 TRUE","SD FALSE",1,3,250,0.193666666666667,"Power2 True","Power3 TRUE","SD FALSE",1,4,250
"530",0.295666666666667,"Power2 True","Power3 TRUE","SD FALSE",2,1,250,0.324,"Power2 True","Power3 TRUE","SD FALSE",2,2,250,0.288666666666667,"Power2 True","Power3 TRUE","SD FALSE",2,3,250,0.328666666666667,"Power2 True","Power3 TRUE","SD FALSE",2,4,250
"531",0.409666666666667,"Power2 True","Power3 TRUE","SD FALSE",3,1,250,0.428,"Power2 True","Power3 TRUE","SD FALSE",3,2,250,0.393333333333333,"Power2 True","Power3 TRUE","SD FALSE",3,3,250,0.44,"Power2 True","Power3 TRUE","SD FALSE",3,4,250
"541",0.201,"Power2 True","Power3 TRUE","SD FALSE",1,1,300,0.21,"Power2 True","Power3 TRUE","SD FALSE",1,2,300,0.183666666666667,"Power2 True","Power3 TRUE","SD FALSE",1,3,300,0.198,"Power2 True","Power3 TRUE","SD FALSE",1,4,300
"542",0.283,"Power2 True","Power3 TRUE","SD FALSE",2,1,300,0.313,"Power2 True","Power3 TRUE","SD FALSE",2,2,300,0.279333333333333,"Power2 True","Power3 TRUE","SD FALSE",2,3,300,0.331666666666667,"Power2 True","Power3 TRUE","SD FALSE",2,4,300
"543",0.404,"Power2 True","Power3 TRUE","SD FALSE",3,1,300,0.428666666666667,"Power2 True","Power3 TRUE","SD FALSE",3,2,300,0.402666666666667,"Power2 True","Power3 TRUE","SD FALSE",3,3,300,0.436666666666667,"Power2 True","Power3 TRUE","SD FALSE",3,4,300
"553",0.180333333333333,"Power2 True","Power3 TRUE","SD FALSE",1,1,350,0.205,"Power2 True","Power3 TRUE","SD FALSE",1,2,350,0.188666666666667,"Power2 True","Power3 TRUE","SD FALSE",1,3,350,0.202333333333333,"Power2 True","Power3 TRUE","SD FALSE",1,4,350
"554",0.275666666666667,"Power2 True","Power3 TRUE","SD FALSE",2,1,350,0.306666666666667,"Power2 True","Power3 TRUE","SD FALSE",2,2,350,0.275666666666667,"Power2 True","Power3 TRUE","SD FALSE",2,3,350,0.321,"Power2 True","Power3 TRUE","SD FALSE",2,4,350
"555",0.401333333333333,"Power2 True","Power3 TRUE","SD FALSE",3,1,350,0.431,"Power2 True","Power3 TRUE","SD FALSE",3,2,350,0.381333333333333,"Power2 True","Power3 TRUE","SD FALSE",3,3,350,0.437,"Power2 True","Power3 TRUE","SD FALSE",3,4,350
"565",0.187333333333333,"Power2 True","Power3 TRUE","SD FALSE",1,1,400,0.224333333333333,"Power2 True","Power3 TRUE","SD FALSE",1,2,400,0.181666666666667,"Power2 True","Power3 TRUE","SD FALSE",1,3,400,0.207,"Power2 True","Power3 TRUE","SD FALSE",1,4,400
"566",0.291333333333333,"Power2 True","Power3 TRUE","SD FALSE",2,1,400,0.329333333333333,"Power2 True","Power3 TRUE","SD FALSE",2,2,400,0.278333333333333,"Power2 True","Power3 TRUE","SD FALSE",2,3,400,0.32,"Power2 True","Power3 TRUE","SD FALSE",2,4,400
"567",0.400333333333333,"Power2 True","Power3 TRUE","SD FALSE",3,1,400,0.447333333333333,"Power2 True","Power3 TRUE","SD FALSE",3,2,400,0.386,"Power2 True","Power3 TRUE","SD FALSE",3,3,400,0.451666666666667,"Power2 True","Power3 TRUE","SD FALSE",3,4,400
"577",0.199,"Power2 True","Power3 TRUE","SD FALSE",1,1,450,0.213333333333333,"Power2 True","Power3 TRUE","SD FALSE",1,2,450,0.178,"Power2 True","Power3 TRUE","SD FALSE",1,3,450,0.218,"Power2 True","Power3 TRUE","SD FALSE",1,4,450
"578",0.271,"Power2 True","Power3 TRUE","SD FALSE",2,1,450,0.322333333333333,"Power2 True","Power3 TRUE","SD FALSE",2,2,450,0.281,"Power2 True","Power3 TRUE","SD FALSE",2,3,450,0.326,"Power2 True","Power3 TRUE","SD FALSE",2,4,450
"579",0.386333333333333,"Power2 True","Power3 TRUE","SD FALSE",3,1,450,0.430666666666667,"Power2 True","Power3 TRUE","SD FALSE",3,2,450,0.386666666666667,"Power2 True","Power3 TRUE","SD FALSE",3,3,450,0.443333333333333,"Power2 True","Power3 TRUE","SD FALSE",3,4,450
"589",0.178333333333333,"Power2 True","Power3 TRUE","SD FALSE",1,1,500,0.21,"Power2 True","Power3 TRUE","SD FALSE",1,2,500,0.175,"Power2 True","Power3 TRUE","SD FALSE",1,3,500,0.216,"Power2 True","Power3 TRUE","SD FALSE",1,4,500
"590",0.282,"Power2 True","Power3 TRUE","SD FALSE",2,1,500,0.285,"Power2 True","Power3 TRUE","SD FALSE",2,2,500,0.272333333333333,"Power2 True","Power3 TRUE","SD FALSE",2,3,500,0.316333333333333,"Power2 True","Power3 TRUE","SD FALSE",2,4,500
"591",0.407333333333333,"Power2 True","Power3 TRUE","SD FALSE",3,1,500,0.432666666666667,"Power2 True","Power3 TRUE","SD FALSE",3,2,500,0.383333333333333,"Power2 True","Power3 TRUE","SD FALSE",3,3,500,0.432,"Power2 True","Power3 TRUE","SD FALSE",3,4,500
"601",0.203,"Power2 True","Power3 FALSE","SD FALSE",1,1,50,0.208,"Power2 True","Power3 FALSE","SD FALSE",1,2,50,0.189666666666667,"Power2 True","Power3 FALSE","SD FALSE",1,3,50,0.224333333333333,"Power2 True","Power3 FALSE","SD FALSE",1,4,50
"602",0.304666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,1,50,0.331333333333333,"Power2 True","Power3 FALSE","SD FALSE",2,2,50,0.289666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,3,50,0.33,"Power2 True","Power3 FALSE","SD FALSE",2,4,50
