"","Main","Set","Type","mean","confL","confU"
"1",2,"HCI","h1=Normal, Co=Normal",0.0854816666666667,0.083012862667696,0.0879504706656373
"2",2,"Ma + HCI","h1=Normal, Co=Normal",0.103693333333333,0.101013229601264,0.106373437065403
"3",2,"HCI","h1=Binary, Co=Binary",0.327008333333333,0.324304593053538,0.329712073613129
"4",2,"Ma + HCI","h1=Binary, Co=Binary",0.306613333333333,0.304170322611956,0.309056344054711
"5",2,"CCI","h1=Normal, Co=Normal",0.048125,0.0458996685092226,0.0503503314907774
"6",2,"Ma + CCI","h1=Normal, Co=Normal",0.0515857142857143,0.04926591881233,0.0539055097590986
"7",2,"CCI","h1=Binary, Co=Binary",0.0501775,0.0476984141541159,0.0526565858458841
"8",2,"Ma + CCI","h1=Binary, Co=Binary",0.0498557142857143,0.0473559978882826,0.052355430683146
"9",2,"Ma","h1=Normal, Co=Normal",0.0482566666666667,0.0460009550964718,0.0505123782368615
"10",2,"Ma + HCI + CCI","h1=Normal, Co=Normal",0.097535,0.0949104497079914,0.100159550292009
"11",2,"HCI + CCI","h1=Normal, Co=Normal",0.0835333333333333,0.0810895338324747,0.085977132834192
"12",2,"Ma","h1=Binary, Co=Binary",0.0488633333333333,0.0464054129928605,0.0513212536738062
"13",2,"Ma + HCI + CCI","h1=Binary, Co=Binary",0.136334166666667,0.134021433639905,0.138646899693428
"14",2,"HCI + CCI","h1=Binary, Co=Binary",0.124363333333333,0.121827944144003,0.126898722522663
"15",1,"Ma + HCI","h1=Normal, Co=Normal",0.0802233333333333,0.0778178803138448,0.0826287863528218
"16",1,"Ma + HCI","h1=Binary, Co=Binary",0.0743483333333333,0.0722091568668427,0.076487509799824
"17",1,"Ma + CCI","h1=Normal, Co=Normal",0.0493625,0.0470719552177272,0.0516530447822728
"18",1,"Ma + CCI","h1=Binary, Co=Binary",0.05139,0.0488376832810215,0.0539423167189785
"19",1,"Ma","h1=Normal, Co=Normal",0.04919,0.0469152660873872,0.0514647339126128
"20",1,"Ma + HCI + CCI","h1=Normal, Co=Normal",0.0816533333333333,0.079154118129624,0.0841525485370426
"21",1,"Ma","h1=Binary, Co=Binary",0.0487066666666667,0.0462571340643368,0.0511561992689966
"22",1,"Ma + HCI + CCI","h1=Binary, Co=Binary",0.0720983333333333,0.0699712218566692,0.0742254448099974
