Main;Set;Type;SampleSize;OutlierExclusion;Correlation;IndependentVariables;DV;mean;FPR;Pr
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;150;TRUE;0.1;1;1;0.5;0.116666666666667;0.5
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;150;TRUE;0.1;2;1;0.5;0.221428571428571;0.5
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;150;TRUE;0.1;1;1;0.5;0.0416666666666667;0.5
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;150;TRUE;0.1;2;1;0.25;0.0428571428571429;0.25
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;150;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;150;TRUE;0.1;2;1;0.5;0.103571428571429;0.5
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;150;TRUE;0.1;1;1;0.75;0.233333333333333;0.75
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;150;TRUE;0.1;2;1;0.75;0.253571428571429;0.75
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;200;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;200;TRUE;0.1;2;1;0.25;0.0285714285714286;0.25
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;200;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;200;TRUE;0.1;2;1;0.75;0.107142857142857;0.75
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;200;TRUE;0.1;1;1;0.25;0.0833333333333333;0.25
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;200;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;200;TRUE;0.1;1;1;0.75;0.116666666666667;0.75
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;200;TRUE;0.1;2;1;1;0.0678571428571429;1
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;250;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;250;TRUE;0.1;2;1;0.75;0.203571428571429;0.75
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;250;TRUE;0.1;1;1;0.5;0.0583333333333333;0.5
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;250;TRUE;0.1;2;1;0.5;0.171428571428571;0.5
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;250;TRUE;0.1;1;1;0;0;0
